CandidateCode,UniversityName,UniversityCountry,PreviousQEISessionName,PreviousQEISessionStanding
1927448462,University of Ottawa Faculty of Medicine,CANADA,,
1952103669,University of British Columbia Faculty of Medicine,CANADA,,
1908971028,Università Cattolica del Sacro Cuore Facoltà di Medicina e Chirurgia,ITALY,MCCQE Part I July 2019,Fail
1361824411,Jinnah Sindh Medical University,PAKISTAN,,
1876865180,M.S. Ramaiah Medical College,INDIA,,
1184966422,Université de Montréal Faculté de Médecine,CANADA,,
1699412252,Smt. N.H.L. Municipal Medical College,INDIA,,
1181820455,Dalhousie University Faculty of Medicine,CANADA,,
1919746832,Dow Medical College,PAKISTAN,,
1235804293,Universidad Autónoma de Ciudad Juárez Instituto de Ciencias Biomédic,MEXICO,,
1902568689,International Medical & Technological University College of Medicine,TANZANIA,MCCQE Part I April 2018,Fail
1399056867,University of the East/Ramon Magsaysay Memorial Medical Center Colle,PHILIPPINES,MCCQE Part I April 2019,Fail
1727042045,Liaquat University of Medical & Health Sciences Jamshoro,PAKISTAN,,
1627350445,Jinnah Sindh Medical University,PAKISTAN,MCCQE Part I July 2019,Fail
1585376130,Sri Siddhartha Medical College,INDIA,,
1095482325,Queen's University Faculty of Health Sciences,CANADA,,
1848999897,McGill University Faculty of Medicine,CANADA,,
1131202376,Abdul Malek Ukil Medical College,BANGLADESH,MCCQE Part I July 2019,Fail
2011969241,Isfahan University of Medical Sciences Faculty of Medicine,IRAN,MCCQE Part I Fall 2016,Fail
1841026511,Ross University School of Medicine,BARBADOS,MCCQE Part I August 2019,Fail
1177820174,Royal College of Surgeons in Ireland - Medical University of Bahrain,BAHRAIN,,
1425856529,Université de Montréal Faculté de Médecine,CANADA,,
1231553939,Royal College of Surgeons in Ireland School of Medicine,IRELAND,,
1023918882,Saba University School of Medicine,SABA,,
1841833600,Université Laval Faculté de Médecine,CANADA,,
1262676602,University of British Columbia Faculty of Medicine,CANADA,,
1431780639,Ibn Sina National College for Medical Studies Faculty of Medicine,SAUDI ARABIA,,
1151256655,"l'Unité de Formation et de Recherche en Sciences de la Santé, Univer",BURKINA FASO,,
1541737738,Misr University for Science and Technology College of Medicine,EGYPT,,
200453906,Guilan University of Medical Sciences,IRAN,MCCQE Part I Fall 2015,Fail
1186290777,Université de Montréal Faculté de Médecine,CANADA,,
1026050828,University of Benghazi Faculty of Medicine,LIBYA,,
1654844948,Alexandria University Faculty of Medicine,EGYPT,MCCQE Part I July 2019,Fail
1941634330,University of British Columbia Faculty of Medicine,CANADA,MCCQE Part I April 2019,Fail
1012984535,"All Saints University School of Medicine, Dominica",DOMINICA,MCCQE Part I July 2019,Fail
1194736995,Manchester Medical School,UNITED KINGDOM,,
1760382867,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1392471378,American University of Beirut Faculty of Medicine,LEBANON,,
1642876459,Universidad Nacional de Colombia Facultad de Medicina,COLOMBIA,MCCQE Part I April 2018,Fail
1821090047,Université de Montréal Faculté de Médecine,CANADA,,
1215994737,Islamic Azad University Tehran Faculty of Medicine,IRAN,,
1265859388,Université de Montréal Faculté de Médecine,CANADA,,
1281813698,Université Laval Faculté de Médecine,CANADA,,
1796113274,"Michael G. DeGroote School of Medicine, McMaster University",CANADA,,
1548346987,Universidad de El Salvador Facultad de Medicina,EL SALVADOR,,
1829198142,King Edward Medical University,PAKISTAN,,
1015561976,University of Ottawa Faculty of Medicine,CANADA,,
1686404064,University of Lagos College of Medicine,NIGERIA,,
1828821422,Université de Sherbrooke Faculté de Médecine et des Sciences de la S,CANADA,,
1415331518,Arak University of Medical Sciences School of Medicine,IRAN,,
1384404340,Jagiellonian University Medical College,POLAND,MCCQE Part I April 2018,Fail
1223499028,Medical University of Warsaw Faculty of Medicine,POLAND,,
1000835934,Our Lady of Fatima University College of Medicine,PHILIPPINES,,
1483464193,Tehran University of Medical Sciences School of Medicine,IRAN,,
1170455643,Université de Montréal Faculté de Médecine,CANADA,,
1270191296,University of Damascus Faculty of Medicine,SYRIA,,
1019595189,University of Toronto Faculty of Medicine,CANADA,,
1943257484,Université de Montréal Faculté de Médecine,CANADA,,
1330168228,University of Saskatchewan College of Medicine,CANADA,,
1131510241,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1986100386,Shahabuddin Medical College,BANGLADESH,,
1114334889,,,,
1159402824,Government Medical College Kottayam,INDIA,,
2010966288,University of Benin School of Medicine,NIGERIA,MCCQE Part I July 2019,Fail
1052881693,University of Port Harcourt College of Health Sciences,NIGERIA,MCCQE Part I August 2019,Fail
1247519127,Sultan Qaboos University College of Medicine,OMAN,,
1679935982,Memorial University of Newfoundland Faculty of Medicine,CANADA,,
2011958400,"Christian Medical College, Ludhiana",INDIA,MCCQE Part I Spring 2017,Fail
1333648812,Jagiellonian University Medical College,POLAND,,
1618903478,Universidade Metropolitana de Santos (UNIMES) Faculdade de Ciências,BRAZIL,,
1431438803,Shandong University Cheeloo College of Medicine,CHINA,,
1138638953,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1741138961,Medical University of Lodz Faculty of Medicine,POLAND,,
1786578764,Universidad Centro-Occidental Lisandro Alvarado Decanato de Ciencias,VENEZUELA,MCCQE Part I October 2018,Fail
1324063270,Newcastle University Faculty of Medical Sciences,UNITED KINGDOM,,
1331234228,University of Tripoli Faculty of Medicine,LIBYA,MCCQE Part I April 2019,Fail
1154257050,Dow Medical College,PAKISTAN,,
1221724576,Université Laval Faculté de Médecine,CANADA,,
1310762469,Shiraz University of Medical Sciences School of Medicine,IRAN,,
1390301825,"Michael G. DeGroote School of Medicine, McMaster University",CANADA,,
1135563680,University of British Columbia Faculty of Medicine,CANADA,,
1961839990,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1106573214,King Abdulaziz University College of Medicine,SAUDI ARABIA,,
1772137692,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1403304290,Tanta University Faculty of Medicine,EGYPT,,
2011977935,"Universidad Iberoamericana (UNIBE) School of Medicine, Santo Domingo",DOMINICAN REPUBLIC,MCCQE Part I Spring 2017,Fail
1131985448,Lithuanian University of Health Sciences Faculty of Medicine,LITHUANIA,,
1931211642,"Queen's University Belfast School of Medicine, Dentistry and Biomedi",UNITED KINGDOM,,
1232125073,Medical University of the Americas (Nevis),SAINT KITTS AND NEVIS,MCCQE Part I Fall 2016,Fail
1107407893,Armed Forces Medical College (AFMC),BANGLADESH,,
1409601053,Shiraz University of Medical Sciences School of Medicine,IRAN,,
1577706823,Windsor University School of Medicine,SAINT KITTS AND NEVIS,,
1092493695,Université de Montréal Faculté de Médecine,CANADA,,
1687820876,Université de Sherbrooke Faculté de Médecine et des Sciences de la S,CANADA,,
1398871952,Obafemi Awolowo University College of Health Sciences,NIGERIA,MCCQE Part I August 2019,Fail
1701508254,"Edinburgh Medical School, College of Medicine and Veterinary Medicin",UNITED KINGDOM,MCCQE Part I July 2019,Fail
1065762921,University of Tripoli Faculty of Medicine,LIBYA,MCCQE Part I October 2018,Fail
1045662786,University of British Columbia Faculty of Medicine,CANADA,,
1584657875,University of Sharjah College of Medicine,UNITED ARAB EMIRATES,MCCQE Part I July 2019,Fail
1801176273,"Universidad Iberoamericana (UNIBE) School of Medicine, Santo Domingo",DOMINICAN REPUBLIC,MCCQE Part I August 2019,Fail
1829548839,Cairo University Faculty of Medicine,EGYPT,MCCQE Part I October 2018,Fail
1082681096,University of Peradeniya Faculty of Medicine,SRI LANKA,,
1163545508,Royal College of Surgeons in Ireland School of Medicine,IRELAND,,
1088070558,Allama Iqbal Medical College,PAKISTAN,,
1889337028,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1158135466,Qazvin University of Medical Sciences Shahid Babaei Faculty of Medic,IRAN,MCCQE Part I October 2018,Fail
1648320710,Rajshahi Medical College & Hospital,BANGLADESH,MCCQE Part I April 2018,Fail
1544102575,Siddhartha Medical College,INDIA,MCCQE Part I October 2018,Fail
1724550551,University of Toronto Faculty of Medicine,CANADA,,
1016753071,Liaquat University of Medical & Health Sciences Jamshoro,PAKISTAN,,
2009990452,Tanta University Faculty of Medicine,EGYPT,MCCQE Part I October 2018,No Standing
1421616095,Government Medical College Amritsar,INDIA,,
1976087221,Université de Lubumbashi Faculté de Médecine,DEMOCRATIC REPUBLIC O,MCCQE Part I April 2019,Fail
1329548175,Shanghai Jiao Tong University School of Medicine,CHINA,,
1939164758,University of the Witwatersrand Faculty of Health Sciences,SOUTH AFRICA,,
1574642533,Université de Montréal Faculté de Médecine,CANADA,,
1027519544,Dow Medical College,PAKISTAN,,
1342199864,University of Queensland Faculty of Medicine,AUSTRALIA,,
1861677827,University of Stellenbosch Faculty of Medicine and Health Sciences,SOUTH AFRICA,,
1116371681,Sultan Qaboos University College of Medicine,OMAN,,
1520235887,Harbin Medical University,CHINA,,
1096091152,Memorial University of Newfoundland Faculty of Medicine,CANADA,,
1861442399,,,,
1544454157,Université de Montréal Faculté de Médecine,CANADA,,
1922418487,Chittagong Medical College and Hospital,BANGLADESH,,
1566089190,Cairo University Faculty of Medicine,EGYPT,,
1078206860,"Gandhi Medical College and Hospital, Secunderabad",INDIA,,
1115111040,McGill University Faculty of Medicine,CANADA,,
1395802861,University of Malta Faculty of Medicine and Surgery,MALTA,,
1284169373,Faculté de Médecine 'Ibn El Jazzar' de Sousse,TUNISIA,,
1209613884,"All Saints University School of Medicine, Dominica",DOMINICA,,
1608450934,Université Quisqueya Faculté des Sciences de la Santé,HAITI,MCCQE Part I August 2019,Fail
1736228297,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1190176897,Poznan University of Medical Sciences Center for Medical Education i,POLAND,,
1744228339,Université de Montréal Faculté de Médecine,CANADA,,
1064203012,Maharani Laxmi Bai Medical College,INDIA,,
1151705944,King's College London GKT School of Medicine,UNITED KINGDOM,,
1411736325,Université de Sherbrooke Faculté de Médecine et des Sciences de la S,CANADA,,
1975757690,Universidad de Guayaquil Facultad de Ciencias Médicas,ECUADOR,,
1795734012,Kwame Nkrumah University of Science & Technology School of Medical S,GHANA,,
1167444500,McGill University Faculty of Medicine,CANADA,,
1520459493,Abia State University Faculty of Medicine,NIGERIA,,
1367158011,American University of the Caribbean School of Medicine,SINT MAARTEN,,
1550454001,Université de Montréal Faculté de Médecine,CANADA,,
1571860269,University of Port Harcourt College of Health Sciences,NIGERIA,,
1338429187,"Cumming School of Medicine, University of Calgary",CANADA,,
1003017035,Université Laval Faculté de Médecine,CANADA,,
1465107811,Memorial University of Newfoundland Faculty of Medicine,CANADA,,
2011973250,Islamic Azad University Tehran Faculty of Medicine,IRAN,MCCQE Part I Spring 2015,Fail
1565401056,"University of Medicine and Health Sciences, St. Kitts",SAINT KITTS AND NEVIS,,
1253400782,Arabian Gulf University College of Medicine and Medical Sciences,BAHRAIN,,
1922387945,Royal College of Surgeons in Ireland School of Medicine,IRELAND,,
1870637923,Université Laval Faculté de Médecine,CANADA,,
1426543014,GreenHeart Medical University School of Medicine,GUYANA,MCCQE Part I April 2019,Fail
1670588217,Shalamar Medical and Dental College,PAKISTAN,,
1308756895,"Michael G. DeGroote School of Medicine, McMaster University",CANADA,MCCQE Part I April 2019,Fail
1932579887,University of Nigeria Faculty of Medicine,NIGERIA,,
1929340982,Saint Petersburg Pavlov State Medical University,RUSSIA,,
2011974396,,,MCCQE Part I April 2019,Fail
1660705304,The University of Western Australia Faculty of Health and Medical Sc,AUSTRALIA,,
1949159196,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1724323472,University of Benghazi Faculty of Medicine,LIBYA,,
1934911751,Isfahan University of Medical Sciences Faculty of Medicine,IRAN,,
2009949203,Arabian Gulf University College of Medicine and Medical Sciences,BAHRAIN,MCCQE Part I Spring 2014,Fail
1473314169,University of British Columbia Faculty of Medicine,CANADA,,
1796707610,Université Notre Dame d'Haïti Faculté de Médecine,HAITI,,
1600275432,University of Damascus Faculty of Medicine,SYRIA,,
1786904638,McGill University Faculty of Medicine,CANADA,,
1740120446,University of British Columbia Faculty of Medicine,CANADA,,
1839096597,National University of Science and Technology College of Medicine an,OMAN,,
1129687660,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1521150109,University of Perpetual Help System Dr. Jose G. Tamayo Medical Unive,PHILIPPINES,MCCQE Part I April 2019,Fail
1178128641,"Vinayaka Mission's Kirupananda Variyar Medical College, Salem",INDIA,MCCQE Part I August 2019,Fail
1756200778,University of British Columbia Faculty of Medicine,CANADA,,
1435279729,American University of Integrative Sciences School of Medicine,BARBADOS,,
1366602579,University of Ottawa Faculty of Medicine,CANADA,,
1963213506,University of Benghazi Faculty of Medicine,LIBYA,,
1233878856,King Saud Bin Abdulaziz University for Health Sciences College of Me,SAUDI ARABIA,,
1315455465,University of Saskatchewan College of Medicine,CANADA,,
1966189488,Université de Lubumbashi Faculté de Médecine,DEMOCRATIC REPUBLIC O,MCCQE Part I Spring 2016,Fail
1948958680,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1232072741,Medical University of Lublin,POLAND,MCCQE Part I October 2018,Fail
1852797183,American University of Antigua College of Medicine,ANTIGUA AND BARBUDA,,
1546999252,University of British Columbia Faculty of Medicine,CANADA,,
1603025141,Université Laval Faculté de Médecine,CANADA,,
1917670966,University of Toronto Faculty of Medicine,CANADA,,
1571845584,Obafemi Awolowo University College of Health Sciences,NIGERIA,MCCQE Part I July 2019,Fail
1238132088,Memorial University of Newfoundland Faculty of Medicine,CANADA,,
1289072058,"Michael G. DeGroote School of Medicine, McMaster University",CANADA,,
1638947975,Isfahan University of Medical Sciences Faculty of Medicine,IRAN,,
1551780461,Université de Montréal Faculté de Médecine,CANADA,,
1997732911,Dalhousie University Faculty of Medicine,CANADA,,
1926802265,Michigan State University College of Osteopathic Medicine,USA,,
2006971358,Saint James School of Medicine St. Vincent and the Grenadines,BONAIRE,MCCQE Part I April 2019,Fail
2009969415,University of Stellenbosch Faculty of Medicine and Health Sciences,SOUTH AFRICA,,
1825341735,Dayanand Medical College,INDIA,,
1683941008,University of Ibadan College of Medicine,NIGERIA,,
1388167807,"Michael G. DeGroote School of Medicine, McMaster University",CANADA,,
1521962676,Ross University School of Medicine,DOMINICA,,
2012953358,Faculté de Médecine de Sorbonne Université,FRANCE,,
1983459189,Stanley Medical College,INDIA,MCCQE Part I August 2019,Fail
1828758960,Khyber Medical College,PAKISTAN,,
1013680629,McGill University Faculty of Medicine,CANADA,,
1245583576,University of Benin School of Medicine,NIGERIA,,
1432585798,The Ohio State University College of Medicine,USA,,
1790411448,University of British Columbia Faculty of Medicine,CANADA,,
1985452717,Université Laval Faculté de Médecine,CANADA,,
1469288772,McGill University Faculty of Medicine,CANADA,,
1419858690,Barts and the London School of Medicine and Dentistry,UNITED KINGDOM,,
1965580209,Université d'Antananarivo Faculté de Médecine,MADAGASCAR,,
1825319041,University of Toronto Faculty of Medicine,CANADA,MCCQE Part I July 2019,Fail
1610705295,"l'Unité de Formation et de Recherche en Sciences de la Santé, Univer",BURKINA FASO,MCCQE Part I October 2018,Fail
1390188199,Imam Abdulrahman Bin Faisal University College of Medicine,SAUDI ARABIA,MCCQE Part I April 2019,Fail
1686635072,University of Toronto Faculty of Medicine,CANADA,,
1790348542,University of Rwanda College of Medicine and Health Sciences,RWANDA,,
2008952794,University of Kwazulu-Natal College of Health Sciences,SOUTH AFRICA,MCCQE Part I Spring 2016,Fail
1255371426,Quaid-e-Azam Medical College,PAKISTAN,MCCQE Part I April 2019,Fail
1998577291,"Universidad Tecnológica de Santiago Escuela de Medicina, Santiago Ca",DOMINICAN REPUBLIC,,
1113035357,Mymensingh Medical College,BANGLADESH,,
1361582675,Chandka Medical College,PAKISTAN,MCCQE Part I October 2018,Fail
1314261848,University of Malta Faculty of Medicine and Surgery,MALTA,,
1719297977,National University of Science and Technology College of Medicine an,OMAN,,
2010970617,University of Pretoria School of Medicine,SOUTH AFRICA,,
1278615488,Sylhet M.A.G. Osmani Medical College,BANGLADESH,,
1728341793,Université de Montréal Faculté de Médecine,CANADA,,
1863686810,University of Benin School of Medicine,NIGERIA,,
1161091687,Trinity College Dublin School of Medicine,IRELAND,,
1428002942,University of Nigeria Faculty of Medicine,NIGERIA,,
1455706393,University of Saskatchewan College of Medicine,CANADA,,
200348027,Université Constantine 3 Faculté de Médecine,ALGERIA,,
1765714357,Université de Montréal Faculté de Médecine,CANADA,,
1525981145,"Schulich School of Medicine and Dentistry, Western University",CANADA,,
1081686321,George Washington University School of Medicine and Health Sciences,USA,,
2011995179,Cairo University Faculty of Medicine,EGYPT,MCCQE Part I Spring 2014,Fail
1851924284,King Abdulaziz University College of Medicine,SAUDI ARABIA,,
1166649976,"Schulich School of Medicine and Dentistry, Western University",CANADA,,
1450741368,University of Lagos College of Medicine,NIGERIA,,
1914933222,University of British Columbia Faculty of Medicine,CANADA,,
1824556655,Universidad Autónoma de Bucaramanga Facultad de Medicina,COLOMBIA,,
1336480847,Manipal College of Medical Sciences (MCOMS),NEPAL,,
1324234714,University of Montenegro Faculty of Medicine,MONTENEGRO,,
1253677708,"Oba Okunade Sijuade College of Health Sciences, Igbinedion Universit",NIGERIA,,
1807111520,Dalhousie University Faculty of Medicine,CANADA,,
1952527175,"University of Medicine and Health Sciences, St. Kitts",SAINT KITTS AND NEVIS,,
1472655535,University of Zimbabwe College of Health Sciences,ZIMBABWE,,
1531761456,Cairo University Faculty of Medicine,EGYPT,,
1002517441,Léka?ská Fakulta UK v Hradci Králové,CZECH REPUBLIC,,
1395935545,Université Marien Ngouabi Faculté des Sciences de la Santé,CONGO,,
1913827729,Weill Cornell Medical College in Qatar,QATAR,,
1642751578,Sri Guru Ram Das Institute of Medical Sciences & Research,INDIA,,
1378976360,Royal College of Surgeons in Ireland School of Medicine,IRELAND,,
1142708784,King Edward Medical University,PAKISTAN,,
1426533467,University of Toronto Faculty of Medicine,CANADA,,
1885436715,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1922235807,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1790936900,Université d'Alger Benyoucef Benkhedda Faculté des Sciences Médicale,ALGERIA,,
1895625812,University of Cape Town Faculty of Health Sciences,SOUTH AFRICA,MCCQE Part I Spring 2017,Fail
1068628792,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1682067812,Fatima Jinnah Medical University,PAKISTAN,,
1147231697,Liaquat University of Medical & Health Sciences Jamshoro,PAKISTAN,MCCQE Part I August 2019,Fail
1816784529,University of Toronto Faculty of Medicine,CANADA,,
1704795531,Université Quisqueya Faculté des Sciences de la Santé,HAITI,,
2006955419,Medical Academy named after S.I. Georgievsky of Vernadsky CFU,UKRAINE,MCCQE Part I April 2019,Fail
1361652519,Queen's University Faculty of Health Sciences,CANADA,,
1873128647,Medical University of the Americas (Nevis),SAINT KITTS AND NEVIS,,
1021957444,,,,
1406083829,University College Cork School of Medicine,IRELAND,,
1182776582,McGill University Faculty of Medicine,CANADA,,
1610019260,Université catholique de Louvain Faculté de Médecine et de Médecine,BELGIUM,,
1581550248,University of Toronto Faculty of Medicine,CANADA,,
1212579164,University of Nigeria Faculty of Medicine,NIGERIA,,
1849781693,University of Port Harcourt College of Health Sciences,NIGERIA,,
1345110662,University of British Columbia Faculty of Medicine,CANADA,,
1970410874,University of Tripoli Faculty of Medicine,LIBYA,MCCQE Part I April 2019,Fail
1727157949,Shri Guru Ram Rai Institute of Medical & Health Sciences,INDIA,,
1670941696,Royal College of Surgeons in Ireland - Medical University of Bahrain,BAHRAIN,,
1595042482,Gunma University Faculty of Medicine,JAPAN,,
1351668388,Ain Shams University Faculty of Medicine,EGYPT,MCCQE Part I April 2019,Fail
1748510888,Belarusian State Medical University,BELARUS,MCCQE Part I April 2018,Fail
1352841587,Jinnah Medical and Dental College,PAKISTAN,,
2008953247,University of Tripoli Faculty of Medicine,LIBYA,MCCQE Part I Fall 2016,Fail
1115138844,University of Jos Faculty of Medical Sciences,NIGERIA,,
1461912106,Universidad de San Carlos Facultad de Ciencias Médicas,GUATEMALA,MCCQE Part I April 2019,Fail
1276688239,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1378090820,University of the Witwatersrand Faculty of Health Sciences,SOUTH AFRICA,,
1339773259,Pushpagiri Institute of Medical Sciences and Research Centre,INDIA,,
1358931936,University of Lagos College of Medicine,NIGERIA,,
1395982578,Quaid-e-Azam Medical College,PAKISTAN,,
1446275290,Université de Montréal Faculté de Médecine,CANADA,,
1149783844,V.N. Karazin Kharkiv National University School of Medicine,UKRAINE,MCCQE Part I April 2019,Fail
1431459696,Yichun University School of Medicine,CHINA,,
1437724552,Manipal College of Medical Sciences (MCOMS),NEPAL,MCCQE Part I April 2019,Fail
1779678234,Université de Lubumbashi Faculté de Médecine,DEMOCRATIC REPUBLIC O,,
1735921834,"Norwich Medical School, University of East Anglia",UNITED KINGDOM,,
1271572091,Cairo University Faculty of Medicine,EGYPT,MCCQE Part I August 2019,Fail
1858796014,University of Queensland Faculty of Medicine,AUSTRALIA,,
1493335781,Université Laval Faculté de Médecine,CANADA,,
2006970269,Zahedan University of Medical Sciences Faculty of Medicine,IRAN,MCCQE Part I October 2018,Fail
1020719003,University of Nigeria Faculty of Medicine,NIGERIA,MCCQE Part I April 2018,Fail
1565721453,Chinese University of Hong Kong Faculty of Medicine,HONG KONG,,
1521095462,University of Malta Faculty of Medicine and Surgery,MALTA,,
1795896115,Islamic Azad University Tehran Faculty of Medicine,IRAN,MCCQE Part I July 2019,Fail
1576753566,St. George's University School of Medicine,GRENADA,,
1389656808,McGill University Faculty of Medicine,CANADA,,
1924707681,University of Liverpool School of Medicine,UNITED KINGDOM,MCCQE Part I October 2018,Fail
1189879518,University of Pretoria School of Medicine,SOUTH AFRICA,,
1985691961,Obafemi Awolowo University College of Health Sciences,NIGERIA,,
1579217754,Université de Montréal Faculté de Médecine,CANADA,,
1532337954,Belgaum Institute of Medical Sciences,INDIA,,
200074596,Dow Medical College,PAKISTAN,MCCQE Part I Fall 2016,Fail
1103630487,Isfahan University of Medical Sciences Faculty of Medicine,IRAN,,
1793108505,University of British Columbia Faculty of Medicine,CANADA,,
1541071814,"Edinburgh Medical School, College of Medicine and Veterinary Medicin",UNITED KINGDOM,,
1094695763,Université Laval Faculté de Médecine,CANADA,,
1474672284,Dow Medical College,PAKISTAN,,
1713567565,University of Ottawa Faculty of Medicine,CANADA,,
1794690566,Shaheed Suhrawardy Medical College,BANGLADESH,,
1208525882,University of Limerick Graduate Entry Medical School,IRELAND,,
1372486892,University of Sharjah College of Medicine,UNITED ARAB EMIRATES,MCCQE Part I October 2018,Fail
1050374039,Saint James School of Medicine Anguilla,ANGUILLA,,
1008561818,University of Tripoli Faculty of Medicine,LIBYA,MCCQE Part I April 2019,Fail
1457394787,"Frontier Medical & Dental College, Abbottabad",PAKISTAN,,
1781469382,University of Benin School of Medicine,NIGERIA,MCCQE Part I October 2018,Fail
1454910901,Saint James School of Medicine Anguilla,ANGUILLA,,
1146511391,Universität zu Köln Medizinische Fakultät,GERMANY,,
1728435627,NUI Galway School of Medicine,IRELAND,,
1366696447,"Jesseniova Lekárska Fakulta v Martine, Univerzita Komenského",SLOVAKIA,,
1857276414,Umm Al-Qura University Faculty of Medicine,SAUDI ARABIA,MCCQE Part I April 2019,Fail
1372876910,Université d'Oran 1 Ahmed Ben Bella Faculté de Médecine,ALGERIA,,
2011970973,Manchester Medical School,UNITED KINGDOM,,
1169531125,University of Ottawa Faculty of Medicine,CANADA,,
1846052947,Jinnah Sindh Medical University,PAKISTAN,,
1540239810,"International School of Medicine, International University of Kyrgyz",KYRGYZSTAN,,
1799182157,Université de Montréal Faculté de Médecine,CANADA,MCCQE Part I April 2019,Fail
2012948103,Memorial University of Newfoundland Faculty of Medicine,CANADA,MCCQE Part I October 2018,Fail
1512221713,Avicenna Medical College,PAKISTAN,MCCQE Part I August 2019,Fail
1687163696,University of British Columbia Faculty of Medicine,CANADA,,
1544261915,Kuwait University Faculty of Medicine,KUWAIT,,
1335381833,University of Alberta Faculty of Medicine and Dentistry,CANADA,,
1037732385,Kwame Nkrumah University of Science & Technology School of Medical S,GHANA,MCCQE Part I April 2019,Fail
1435303505,Imam Abdulrahman Bin Faisal University College of Medicine,SAUDI ARABIA,,
1653180453,"Frontier Medical & Dental College, Abbottabad",PAKISTAN,,
1692188145,Windsor University School of Medicine,SAINT KITTS AND NEVIS,,
1373518109,Kasturba Medical College Manipal,INDIA,,
1094691101,University of the East/Ramon Magsaysay Memorial Medical Center Colle,PHILIPPINES,,
1672072738,Alexandria University Faculty of Medicine,EGYPT,,
1055176472,"Schulich School of Medicine and Dentistry, Western University",CANADA,,
1098153883,Jinnah Sindh Medical University,PAKISTAN,,
1121889700,St. George's University School of Medicine,GRENADA,,
1150217561,Royal College of Surgeons in Ireland School of Medicine,IRELAND,,
1407700326,University of Saskatchewan College of Medicine,CANADA,,
1799429493,University of Ilorin College of Health Sciences,NIGERIA,,
1291535425,University of Limerick Graduate Entry Medical School,IRELAND,,
1151304012,Université de Montréal Faculté de Médecine,CANADA,,
1181955557,Vinnitsa National Pirogov Memorial Medical University,UKRAINE,,
